"Date","Price","Open","High","Low","Vol.","Change %"
"28-11-2024","212.32","211.34","214.89","210.10","6.71M","0.56%"
"27-11-2024","211.14","198.20","212.45","196.60","14.02M","6.86%"
"26-11-2024","197.59","197.99","198.68","195.11","3.04M","0.58%"
"25-11-2024","196.45","197.30","201.60","195.25","8.19M","4.74%"
"22-11-2024","187.56","187.74","188.00","182.94","3.45M","0.97%"
"21-11-2024","185.76","189.00","189.99","183.31","3.71M","-1.59%"
"19-11-2024","188.77","186.00","194.27","185.64","5.77M","2.41%"
"18-11-2024","184.33","193.07","194.50","183.50","5.42M","-3.88%"
"14-11-2024","191.78","191.86","196.00","191.10","2.92M","-0.04%"
"13-11-2024","191.86","198.00","199.00","191.18","3.41M","-3.05%"
"12-11-2024","197.90","202.75","204.35","197.00","2.57M","-1.29%"
"11-11-2024","200.49","203.05","204.44","199.32","4.49M","-2.64%"
"08-11-2024","205.93","205.00","208.71","202.45","10.56M","-4.35%"
"07-11-2024","215.29","219.95","221.49","214.21","4.34M","-1.64%"
"06-11-2024","218.89","215.00","219.86","213.60","4.44M","3.18%"
"05-11-2024","212.15","209.83","212.74","206.05","4.28M","1.06%"
"04-11-2024","209.93","220.80","220.87","209.21","4.51M","-4.66%"
"01-11-2024","220.18","219.00","221.00","219.00","1.12M","1.17%"
"31-10-2024","217.64","213.16","219.85","210.70","6.62M","2.10%"
"30-10-2024","213.16","203.95","217.35","202.31","10.51M","4.87%"
"29-10-2024","203.27","202.00","205.20","198.61","3.74M","1.12%"
"28-10-2024","201.01","194.16","203.71","192.80","5.88M","4.07%"
"25-10-2024","193.14","203.00","203.50","191.83","5.78M","-4.54%"
"24-10-2024","202.33","202.50","204.70","199.08","4.03M","0.42%"
"23-10-2024","201.49","200.90","206.35","192.05","6.74M","0.65%"
"22-10-2024","200.18","212.90","212.96","199.20","7.99M","-6.41%"
"21-10-2024","213.89","223.10","223.89","211.60","2.70M","-3.54%"
"18-10-2024","221.74","223.73","223.73","216.20","3.50M","-0.90%"
"17-10-2024","223.75","225.43","231.50","222.35","9.15M","0.11%"
"16-10-2024","223.51","222.00","226.50","221.24","3.56M","0.65%"
"15-10-2024","222.07","223.50","224.70","221.00","2.48M","-0.12%"
"14-10-2024","222.34","226.80","228.20","221.61","3.29M","-1.72%"
"11-10-2024","226.22","220.50","229.40","218.60","6.64M","2.57%"
"10-10-2024","220.56","223.20","223.97","219.50","2.33M","-0.96%"
"09-10-2024","222.69","221.00","226.27","220.60","4.54M","1.95%"
"08-10-2024","218.44","204.50","220.67","202.89","7.77M","5.74%"
"07-10-2024","206.58","217.36","219.99","203.50","7.18M","-4.96%"
"04-10-2024","217.36","219.65","220.80","212.66","4.39M","-0.59%"
"03-10-2024","218.65","219.97","222.72","218.00","4.00M","-2.89%"
"01-10-2024","225.16","228.55","228.80","224.81","2.40M","-1.22%"
"30-09-2024","227.95","226.95","229.10","223.60","3.93M","0.26%"
"27-09-2024","227.35","225.00","230.40","225.00","3.73M","1.13%"
"26-09-2024","224.80","227.00","229.30","222.00","4.63M","-0.64%"
"25-09-2024","226.25","227.50","231.00","224.20","3.49M","-0.51%"
"24-09-2024","227.40","230.10","233.40","226.40","5.65M","-1.58%"
"23-09-2024","231.05","234.15","234.45","229.20","3.85M","-0.67%"
"20-09-2024","232.60","224.90","240.60","222.30","15.43M","4.00%"
"19-09-2024","223.65","228.25","230.80","218.15","7.20M","-1.48%"
"18-09-2024","227.00","232.00","235.95","225.40","5.22M","-2.05%"
"17-09-2024","231.75","240.50","240.60","231.00","4.65M","-3.42%"
"16-09-2024","239.95","245.35","245.35","239.40","2.71M","-2.04%"
"13-09-2024","244.95","240.45","249.35","239.05","5.84M","2.19%"
"12-09-2024","239.70","239.30","240.90","234.60","4.40M","0.67%"
"11-09-2024","238.10","245.35","245.55","237.00","2.82M","-2.54%"
"10-09-2024","244.30","241.40","245.25","241.10","2.44M","1.58%"
"09-09-2024","240.50","245.00","245.00","237.80","5.54M","-2.30%"
"06-09-2024","246.15","252.35","253.45","243.30","5.71M","-2.51%"
"05-09-2024","252.50","256.85","257.40","252.00","3.01M","-1.48%"
"04-09-2024","256.30","253.30","262.00","252.00","4.20M","0.12%"
"03-09-2024","256.00","257.00","259.75","254.15","4.48M","-0.33%"
"02-09-2024","256.85","262.00","263.20","255.50","4.50M","-1.63%"
"30-08-2024","261.10","264.05","265.80","260.00","4.77M","-0.72%"
"29-08-2024","263.00","265.40","266.70","262.00","3.08M","-0.55%"
"28-08-2024","264.45","263.50","266.45","263.15","3.34M","0.42%"
"27-08-2024","263.35","264.60","267.85","262.05","3.75M","-0.47%"
"26-08-2024","264.60","267.00","267.35","263.50","3.40M","-0.38%"
"23-08-2024","265.60","266.30","273.20","264.60","8.13M","0.04%"
"22-08-2024","265.50","266.30","268.00","265.00","2.87M","0.30%"
"21-08-2024","264.70","265.80","268.95","263.35","3.77M","-0.49%"
